단축코드,한글 종목명,한글 종목약명,시장구분
2150,도화엔지니어링보통주,도화엔지니어링,KOSPI
2170,삼양통상보통주,삼양통상,KOSPI
2200,한국수출포장공업보통주,한국수출포장,KOSPI
2210,동성제약보통주,동성제약,KOSPI
2220,한일철강보통주,한일철강,KOSPI
2230,피에스텍,피에스텍,KOSDAQ
2240,고려제강보통주,고려제강,KOSPI
2270,롯데푸드보통주,롯데푸드,KOSPI
2290,삼일기업공사,삼일기업공사,KOSDAQ
2310,아세아제지보통주,아세아제지,KOSPI
2320,한진보통주,한진,KOSPI
2350,넥센타이어보통주,넥센타이어,KOSPI
2355,넥센타이어1우선주(신형),넥센타이어1우B,KOSPI
2360,SH에너지화학보통주,SH에너지화학,KOSPI
2380,주식회사케이씨씨,KCC,KOSPI
2390,한독보통주,한독,KOSPI
2410,범양건영보통주,범양건영,KOSPI
2420,세기상사보통주,세기상사,KOSPI
2450,삼익악기보통주,삼익악기,KOSPI
2460,화성산업보통주,화성산업,KOSPI
2600,조흥보통주,조흥,KOSPI
2620,제일파마홀딩스보통주,제일파마홀딩스,KOSPI
2630,오리엔트바이오보통주,오리엔트바이오,KOSPI
2680,한탑,한탑,KOSDAQ
2690,동일제강보통주,동일제강,KOSPI
2700,신일전자보통주,신일전자,KOSPI
2710,TCC스틸보통주,TCC스틸,KOSPI
2720,국제약품보통주,국제약품,KOSPI
2760,보락보통주,보락,KOSPI
2780,진흥기업보통주,진흥기업,KOSPI
2785,진흥기업1우선주(신형),진흥기업우B,KOSPI
2787,진흥기업2우선주(신형),진흥기업2우B,KOSPI
2790,아모레G보통주,아모레G,KOSPI
2795,아모레G1우선주,아모레G우,KOSPI
2800,신신제약,신신제약,KOSDAQ
2810,삼영무역보통주,삼영무역,KOSPI
2820,선앤엘보통주,SUN&L,KOSPI
2840,미원상사보통주,미원상사,KOSPI
2870,신풍제지보통주,신풍제지,KOSPI
2880,대유에이텍,대유에이텍,KOSPI
2900,티와이엠보통주,TYM,KOSPI
2920,유성기업보통주,유성기업,KOSPI
2960,한국쉘석유보통주,한국쉘석유,KOSPI
2990,금호건설보통주,금호건설,KOSPI
2995,금호건설1우선주,금호건설우,KOSPI
3000,부광약품보통주,부광약품,KOSPI
3010,혜인보통주,혜인,KOSPI
3030,세아제강지주보통주,세아제강지주,KOSPI
3060,에이프로젠제약보통주,에이프로젠제약,KOSPI
3070,코오롱글로벌보통주,코오롱글로벌,KOSPI
3075,코오롱글로벌1우선주,코오롱글로벌우,KOSPI
3080,성보화학보통주,성보화학,KOSPI
3090,대웅보통주,대웅,KOSPI
3100,선광,선광,KOSDAQ
3120,일성신약보통주,일성신약,KOSPI
3160,디아이보통주,디아이,KOSPI
3200,일신방직보통주,일신방직,KOSPI
3220,대원제약보통주,대원제약,KOSPI
3230,삼양식품보통주,삼양식품,KOSPI
3240,태광산업보통주,태광산업,KOSPI
3280,흥아해운보통주,흥아해운,KOSPI
3300,한일홀딩스보통주,한일홀딩스,KOSPI
3310,대주산업,대주산업,KOSDAQ
3350,한국화장품제조보통주,한국화장품제조,KOSPI
3380,하림지주,하림지주,KOSDAQ
3410,쌍용C&E보통주,쌍용C&E,KOSPI
3460,유화증권보통주,유화증권,KOSPI
3465,유화증권1우선주,유화증권우,KOSPI
3470,유안타증권보통주,유안타증권,KOSPI
3475,유안타증권1우선주,유안타증권우,KOSPI
3480,한진중공업홀딩스보통주,한진중공업홀딩스,KOSPI
3490,대한항공보통주,대한항공,KOSPI
3495,대한항공1우선주,대한항공우,KOSPI
3520,영진약품보통주,영진약품,KOSPI
3530,한화투자증권보통주,한화투자증권,KOSPI
3535,한화투자증권1우선주,한화투자증권우,KOSPI
3540,대신증권보통주,대신증권,KOSPI
3545,대신증권1우선주,대신증권우,KOSPI
3547,대신증권2우선주(신형),대신증권2우B,KOSPI
3550,LG보통주,LG,KOSPI
3555,LG1우선주,LG우,KOSPI
3560,IHQ보통주,IHQ,KOSPI
3570,SNT중공업보통주,SNT중공업,KOSPI
3580,에이치엘비글로벌보통주,HLB글로벌,KOSPI
3610,방림보통주,방림,KOSPI
3620,쌍용자동차보통주,쌍용차,KOSPI
3650,미창석유공업보통주,미창석유,KOSPI
3670,포스코케미칼보통주,포스코케미칼,KOSPI
3680,한성기업보통주,한성기업,KOSPI
3690,코리안리재보험보통주,코리안리,KOSPI
3720,삼영화학공업보통주,삼영화학,KOSPI
3780,진양산업보통주,진양산업,KOSPI
3800,에이스침대,에이스침대,KOSDAQ
3830,대한화섬보통주,대한화섬,KOSPI
3850,보령보통주,보령,KOSPI
3920,남양유업보통주,남양유업,KOSPI
3925,남양유업1우선주,남양유업우,KOSPI
3960,사조대림보통주,사조대림,KOSPI
4000,롯데정밀화학보통주,롯데정밀화학,KOSPI
4020,현대제철 보통주,현대제철,KOSPI
4060,에스지세계물산보통주,SG세계물산,KOSPI
4080,신흥보통주,신흥,KOSPI
4090,한국석유공업보통주,한국석유,KOSPI
4100,태양금속공업보통주,태양금속,KOSPI
4105,태양금속공업1우선주,태양금속우,KOSPI
4140,동방보통주,동방,KOSPI
4150,한솔홀딩스보통주,한솔홀딩스,KOSPI
4170,신세계보통주,신세계,KOSPI
4250,NPC보통주,NPC,KOSPI
4255,NPC1우선주,NPC우,KOSPI
4270,남성보통주,남성,KOSPI
4310,현대약품보통주,현대약품,KOSPI
4360,세방보통주,세방,KOSPI
4365,세방1우선주,세방우,KOSPI
4370,농심보통주,농심,KOSPI
4380,삼익THK보통주,삼익THK,KOSPI
4410,서울식품공업보통주,서울식품,KOSPI
4415,서울식품공업1우선주,서울식품우,KOSPI
4430,송원산업보통주,송원산업,KOSPI
4440,삼일씨엔에스보통주,삼일씨엔에스,KOSPI
4450,삼화왕관보통주,삼화왕관,KOSPI
4490,세방전지보통주,세방전지,KOSPI
4540,깨끗한나라보통주,깨끗한나라,KOSPI
4545,깨끗한나라1우선주,깨끗한나라우,KOSPI
4560,현대비앤지스틸보통주,현대비앤지스틸,KOSPI
4565,현대비앤지스틸1우선주,현대비앤지스틸우,KOSPI
4590,한국가구,한국가구,KOSDAQ
4650,창해에탄올,창해에탄올,KOSDAQ
4690,삼천리보통주,삼천리,KOSPI
4700,조광피혁보통주,조광피혁,KOSPI
4710,한솔테크닉스보통주,한솔테크닉스,KOSPI
4720,팜젠사이언스보통주,팜젠사이언스,KOSPI
4770,써니전자보통주,써니전자,KOSPI
4780,대륙제관,대륙제관,KOSDAQ
4800,효성보통주,효성,KOSPI
4830,덕성보통주,덕성,KOSPI
4835,덕성1우선주,덕성우,KOSPI
4840,디알비동일보통주,DRB동일,KOSPI
4870,티웨이홀딩스보통주,티웨이홀딩스,KOSPI
4890,동일산업보통주,동일산업,KOSPI
4910,조광페인트보통주,조광페인트,KOSPI
4920,씨아이테크보통주,씨아이테크,KOSPI
4960,한신공영보통주,한신공영,KOSPI
4970,신라교역보통주,신라교역,KOSPI
4980,성신양회보통주,성신양회,KOSPI
4985,성신양회1우선주,성신양회우,KOSPI
4990,롯데지주보통주,롯데지주,KOSPI
5010,휴스틸보통주,휴스틸,KOSPI
5030,부산주공보통주,부산주공,KOSPI
5070,코스모신소재보통주,코스모신소재,KOSPI
5090,SGC에너지보통주,SGC에너지,KOSPI
5110,한창보통주,한창,KOSPI
5160,동국산업,동국산업,KOSDAQ
5180,빙그레보통주,빙그레,KOSPI
5250,녹십자홀딩스보통주,녹십자홀딩스,KOSPI
5257,녹십자홀딩스2우선주(신형),녹십자홀딩스2우,KOSPI
5290,동진쎄미켐,동진쎄미켐,KOSDAQ
5300,롯데칠성음료보통주,롯데칠성,KOSPI
5305,롯데칠성음료1우선주,롯데칠성우,KOSPI
5320,국동보통주,국동,KOSPI
5360,모나미보통주,모나미,KOSPI
5380,현대자동차보통주,현대차,KOSPI
5385,현대자동차1우선주,현대차우,KOSPI
5387,현대자동차2우선주(신형),현대차2우B,KOSPI
5389,현대자동차3우선주(신형),현대차3우B,KOSPI
5390,신성통상보통주,신성통상,KOSPI
5420,코스모화학보통주,코스모화학,KOSPI
5430,한국공항보통주,한국공항,KOSPI
5440,현대그린푸드보통주,현대그린푸드,KOSPI
5490,포스코홀딩스보통주,POSCO홀딩스,KOSPI
5500,삼진제약보통주,삼진제약,KOSPI
5610,SPC삼립보통주,SPC삼립,KOSPI
5670,푸드웰,푸드웰,KOSDAQ
5680,삼영전자공업보통주,삼영전자,KOSPI
5690,파미셀보통주,파미셀,KOSPI
5710,대원산업,대원산업,KOSDAQ
5720,넥센보통주,넥센,KOSPI
5725,넥센1우선주,넥센우,KOSPI
5740,크라운해태홀딩스보통주,크라운해태홀딩스,KOSPI
5745,크라운해태홀딩스1우선주,크라운해태홀딩스우,KOSPI
5750,대림B&Co보통주,대림B&Co,KOSPI
5800,신영와코루보통주,신영와코루,KOSPI
5810,풍산홀딩스보통주,풍산홀딩스,KOSPI
5820,원림보통주,원림,KOSPI
5830,DB손해보험보통주,DB손해보험,KOSPI
5850,에스엘보통주,에스엘,KOSPI
5860,한일사료,한일사료,KOSDAQ
5870,휴니드테크놀러지스보통주,휴니드,KOSPI
5880,대한해운보통주,대한해운,KOSPI
5930,삼성전자보통주,삼성전자,KOSPI
5935,삼성전자1우선주,삼성전자우,KOSPI
5940,엔에이치투자증권보통주,NH투자증권,KOSPI
5945,엔에이치투자증권1우선주,NH투자증권우,KOSPI
5950,이수화학보통주,이수화학,KOSPI
5960,동부건설보통주,동부건설,KOSPI
5965,동부건설1우선주,동부건설우,KOSPI
5990,매일홀딩스,매일홀딩스,KOSDAQ
6040,동원산업보통주,동원산업,KOSPI
6050,국영지앤엠,국영지앤엠,KOSDAQ
6060,화승인더스트리보통주,화승인더,KOSPI
6090,사조오양보통주,사조오양,KOSPI
6110,삼아알미늄보통주,삼아알미늄,KOSPI
6120,에스케이디스커버리보통주,SK디스커버리,KOSPI
6125,에스케이디스커버리1우선주,SK디스커버리우,KOSPI
6140,피제이전자,피제이전자,KOSDAQ
6200,한국전자홀딩스보통주,한국전자홀딩스,KOSPI
6220,제주은행보통주,제주은행,KOSPI
6260,LS보통주,LS,KOSPI
6280,녹십자보통주,녹십자,KOSPI
6340,대원전선보통주,대원전선,KOSPI
6345,대원전선1우선주,대원전선우,KOSPI
6360,GS건설보통주,GS건설,KOSPI
6370,대구백화점보통주,대구백화점,KOSPI
6380,카프로보통주,카프로,KOSPI
6390,한일현대시멘트보통주,한일현대시멘트,KOSPI
6400,삼성SDI보통주,삼성SDI,KOSPI
6405,삼성SDI1우선주,삼성SDI우,KOSPI
6490,인스코비보통주,인스코비,KOSPI
6570,대림통상보통주,대림통상,KOSPI
6580,대양제지공업,대양제지,KOSDAQ
6620,동구바이오제약,동구바이오제약,KOSDAQ
6650,대한유화보통주,대한유화,KOSPI
6660,삼성공조보통주,삼성공조,KOSPI
6730,서부티엔디,서부T&D,KOSDAQ
6740,영풍제지보통주,영풍제지,KOSPI
6800,미래에셋증권보통주,미래에셋증권,KOSPI
6805,미래에셋증권1우선주,미래에셋증권우,KOSPI
6840,AK홀딩스보통주,AK홀딩스,KOSPI
6880,신송홀딩스보통주,신송홀딩스,KOSPI
6890,태경케미컬보통주,태경케미컬,KOSPI
6910,보성파워텍,보성파워텍,KOSDAQ
6920,모헨즈,모헨즈,KOSDAQ
6980,우성보통주,우성,KOSPI
7070,지에스리테일보통주,GS리테일,KOSPI
7110,일신석재보통주,일신석재,KOSPI
7120,미래아이앤지보통주,미래아이앤지,KOSPI
7160,사조산업보통주,사조산업,KOSPI
7210,벽산보통주,벽산,KOSPI
7280,한국특강보통주,한국특강,KOSPI
7310,오뚜기보통주,오뚜기,KOSPI
7330,푸른상호저축은행,푸른저축은행,KOSDAQ
7340,디엔오토모티브보통주,DN오토모티브,KOSPI
7370,진양제약,진양제약,KOSDAQ
7390,네이처셀,네이처셀,KOSDAQ
7460,에이프로젠메디신보통주,에이프로젠 MED,KOSPI
7530,영신금속공업,영신금속,KOSDAQ
7540,샘표보통주,샘표,KOSPI
7570,일양약품보통주,일양약품,KOSPI
7575,일양약품1우선주,일양약품우,KOSPI
7590,동방아그로보통주,동방아그로,KOSPI
7610,선도전기보통주,선도전기,KOSPI
7660,이수페타시스보통주,이수페타시스,KOSPI
7680,대원,대원,KOSDAQ
7690,국도화학보통주,국도화학,KOSPI
7700,F&F홀딩스,F&F홀딩스,KOSPI
7720,대명소노시즌,대명소노시즌,KOSDAQ
7770,한일화학공업,한일화학,KOSDAQ
7810,코리아써키트보통주,코리아써키트,KOSPI
7815,코리아써키트1우선주,코리아써우,KOSPI
7820,에스엠코어,에스엠코어,KOSDAQ
7860,서연보통주,서연,KOSPI
7980,태평양물산보통주,태평양물산,KOSPI
8040,사조동아원보통주,사조동아원,KOSPI
8060,대덕보통주,대덕,KOSPI
8110,대동전자보통주,대동전자,KOSPI
8250,이건산업보통주,이건산업,KOSPI
8260,NI스틸보통주,NI스틸,KOSPI
8290,원풍물산,원풍물산,KOSDAQ
8350,남선알미늄보통주,남선알미늄,KOSPI
8355,남선알미늄1우선주,남선알미우,KOSPI
8370,원풍,원풍,KOSDAQ
8420,문배철강보통주,문배철강,KOSPI
8470,부-스타,부스타,KOSDAQ
8490,서흥보통주,서흥,KOSPI
8500,일정실업보통주,일정실업,KOSPI
8560,메리츠증권보통주,메리츠증권,KOSPI
8600,윌비스보통주,윌비스,KOSPI
8700,아남전자보통주,아남전자,KOSPI
8730,율촌화학보통주,율촌화학,KOSPI
8770,호텔신라보통주,호텔신라,KOSPI
8775,호텔신라1우선주,호텔신라우,KOSPI
8830,대동기어,대동기어,KOSDAQ
8870,금비보통주,금비,KOSPI
8930,한미사이언스보통주,한미사이언스,KOSPI
8970,동양철관보통주,동양철관,KOSPI
9070,KCTC 보통주,KCTC,KOSPI
9140,경인전자보통주,경인전자,KOSPI
9150,삼성전기보통주,삼성전기,KOSPI
9155,삼성전기1우선주,삼성전기우,KOSPI
9160,SIMPAC보통주,SIMPAC,KOSPI
9180,한솔로지스틱스보통주,한솔로지스틱스,KOSPI
9190,대양금속보통주,대양금속,KOSPI
9200,무림페이퍼보통주,무림페이퍼,KOSPI
9240,한샘보통주,한샘,KOSPI
9270,신원보통주,신원,KOSPI
9275,신원1우선주,신원우,KOSPI
9290,광동제약보통주,광동제약,KOSPI
9300,삼아제약,삼아제약,KOSDAQ
9310,참엔지니어링보통주,참엔지니어링,KOSPI
9320,대우전자부품보통주,대우부품,KOSPI
9410,태영건설보통주,태영건설,KOSPI
9415,태영건설우선주,태영건설우,KOSPI
9420,한올바이오파마보통주,한올바이오파마,KOSPI
9440,케이씨그린홀딩스보통주,KC그린홀딩스,KOSPI
9450,경동나비엔보통주,경동나비엔,KOSPI
9460,한창제지보통주,한창제지,KOSPI
9470,삼화전기보통주,삼화전기,KOSPI
9520,(주)포스코엠텍,포스코엠텍,KOSDAQ
9540,한국조선해양보통주,한국조선해양,KOSPI
9580,무림피앤피보통주,무림P&P,KOSPI
9620,삼보산업,삼보산업,KOSDAQ
9680,모토닉보통주,모토닉,KOSPI
9730,코센,코센,KOSDAQ
9770,삼정펄프 보통주,삼정펄프,KOSPI
9780,엠에스씨,엠에스씨,KOSDAQ
9810,플레이그램보통주,플레이그램,KOSPI
9830,한화솔루션보통주,한화솔루션,KOSPI
9835,한화솔루션1우선주,한화솔루션우,KOSPI
9900,명신산업보통주,명신산업,KOSPI
9970,영원무역홀딩스보통주,영원무역홀딩스,KOSPI
10040,한국내화보통주,한국내화,KOSPI
10050,우리종합금융보통주,우리종금,KOSPI
10060,OCI보통주,OCI,KOSPI
10100,한국프랜지공업보통주,한국프랜지,KOSPI
10120,LS ELECTRIC보통주,LS ELECTRIC,KOSPI
10130,고려아연보통주,고려아연,KOSPI
10140,삼성중공업보통주,삼성중공업,KOSPI
10145,삼성중공업1우선주,삼성중공우,KOSPI
10170,대한광통신,대한광통신,KOSDAQ
10240,흥국,흥국,KOSDAQ
10280,쌍용정보통신,쌍용정보통신,KOSDAQ
10400,우진아이엔에스보통주,우진아이엔에스,KOSPI
10420,한솔PNS보통주,한솔PNS,KOSPI
10470,오리콤,오리콤,KOSDAQ
10580,에스엠벡셀보통주,에스엠벡셀,KOSPI
10600,웰바이오텍보통주,웰바이오텍,KOSPI
10620,현대미포조선보통주,현대미포조선,KOSPI
10640,진양폴리우레탄보통주,진양폴리,KOSPI
10660,화천기계보통주,화천기계,KOSPI
10690,화신보통주,화신,KOSPI
10770,평화홀딩스보통주,평화홀딩스,KOSPI
10780,아이에스동서보통주,아이에스동서,KOSPI
10820,퍼스텍보통주,퍼스텍,KOSPI
10950,S-Oil보통주,S-Oil,KOSPI
10955,S-Oil1우선주,S-Oil우,KOSPI
10960,삼호개발 보통주,삼호개발,KOSPI
11000,진원생명과학보통주,진원생명과학,KOSPI
11040,경동제약,경동제약,KOSDAQ
11070,LG이노텍보통주,LG이노텍,KOSPI
11080,형지아이앤씨,형지I&C,KOSDAQ
11090,에넥스보통주,에넥스,KOSPI
11150,CJ씨푸드보통주,CJ씨푸드,KOSPI
11155,CJ씨푸드1우선주,CJ씨푸드1우,KOSPI
11170,롯데케미칼보통주,롯데케미칼,KOSPI
11200,에이치엠엠보통주,HMM,KOSPI
11210,현대위아보통주,현대위아,KOSPI
11230,삼화전자공업보통주,삼화전자,KOSPI
11280,태림포장보통주,태림포장,KOSPI
11300,성안보통주,성안,KOSPI
11320,유니크,유니크,KOSDAQ
11330,유니켐보통주,유니켐,KOSPI
11370,서한,서한,KOSDAQ
11390,부산산업보통주,부산산업,KOSPI
11420,갤럭시아에스엠보통주,갤럭시아에스엠,KOSPI
11500,한농화성보통주,한농화성,KOSPI
11560,세보엠이씨,세보엠이씨,KOSDAQ
11690,와이투솔루션보통주,와이투솔루션,KOSPI
11700,한신기계공업보통주,한신기계,KOSPI
11760,현대코퍼레이션보통주,현대코퍼레이션,KOSPI
11780,금호석유화학보통주,금호석유,KOSPI
11785,금호석유화학1우선주,금호석유우,KOSPI
11790,SKC보통주,SKC,KOSPI
11810,STX보통주,STX,KOSPI
11930,신성이엔지보통주,신성이엔지,KOSPI
12030,DB Inc.보통주,DB,KOSPI
12160,영흥보통주,영흥,KOSPI
12170,아센디오보통주,아센디오,KOSPI
12200,계양전기보통주,계양전기,KOSPI
12205,계양전기1우선주,계양전기우,KOSPI
12280,영화금속보통주,영화금속,KOSPI
12320,경동인베스트보통주,경동인베스트,KOSPI
12330,현대모비스보통주,현대모비스,KOSPI
12340,뉴인텍,뉴인텍,KOSDAQ
12450,한화에어로스페이스보통주,한화에어로스페이스,KOSPI
12510,더존비즈온보통주,더존비즈온,KOSPI
12600,센트럴인사이트보통주,센트럴인사이트,KOSPI
12610,경인양행보통주,경인양행,KOSPI
12620,원일특강,원일특강,KOSDAQ
12630,HDC보통주,HDC,KOSPI
12690,모나리자보통주,모나리자,KOSPI
12700,리드코프,리드코프,KOSDAQ
12750,에스원보통주,에스원,KOSPI
12790,신일제약,신일제약,KOSDAQ
12800,대창보통주,대창,KOSPI
12860,모베이스전자,모베이스전자,KOSDAQ
13000,세우글로벌보통주,세우글로벌,KOSPI
13030,하이록코리아,하이록코리아,KOSDAQ
13120,동원개발,동원개발,KOSDAQ
13310,아진산업,아진산업,KOSDAQ
13360,일성건설보통주,일성건설,KOSPI
13520,화승코퍼레이션보통주,화승코퍼레이션,KOSPI
13570,디와이보통주,디와이,KOSPI
13580,계룡건설산업보통주,계룡건설,KOSPI
13700,까뮤이앤씨보통주,까뮤이앤씨,KOSPI
13720,씨비아이,CBI,KOSDAQ
13810,스페코,스페코,KOSDAQ
13870,지엠비코리아보통주,지엠비코리아,KOSPI
13890,지누스보통주,지누스,KOSPI
13990,아가방앤컴퍼니,아가방컴퍼니,KOSDAQ
14100,메디앙스,메디앙스,KOSDAQ
14130,한익스프레스보통주,한익스프레스,KOSPI
14160,대영포장보통주,대영포장,KOSPI
14190,원익큐브,원익큐브,KOSDAQ
14200,광림,광림,KOSDAQ
14280,금강공업보통주,금강공업,KOSPI
14285,금강공업1우선주,금강공업우,KOSPI
14440,영보화학보통주,영보화학,KOSPI
14470,부방,부방,KOSDAQ
14530,극동유화보통주,극동유화,KOSPI
14570,고려제약,고려제약,KOSDAQ
14580,태경비케이보통주,태경비케이,KOSPI
14620,성광벤드,성광벤드,KOSDAQ
14680,한솔케미칼보통주,한솔케미칼,KOSPI
14710,사조씨푸드보통주,사조씨푸드,KOSPI
14790,한라보통주,한라,KOSPI
14820,동원시스템즈보통주,동원시스템즈,KOSPI
14825,동원시스템즈1우선주,동원시스템즈우,KOSPI
14830,유니드 보통주,유니드,KOSPI
14910,성문전자보통주,성문전자,KOSPI
14915,성문전자1우선주,성문전자우,KOSPI
14940,오리엔탈정공,오리엔탈정공,KOSDAQ
14970,삼륭물산,삼륭물산,KOSDAQ
14990,인디에프보통주,인디에프,KOSPI
15020,이스타코보통주,이스타코,KOSPI
15230,대창단조보통주,대창단조,KOSPI
15260,에이엔피보통주,에이엔피,KOSPI
15360,예스코홀딩스보통주,예스코홀딩스,KOSPI
15540,쎌마테라퓨틱스보통주,쎌마테라퓨틱스,KOSPI
15590,큐로보통주,큐로,KOSPI
15710,코콤,코콤,KOSDAQ
15750,성우하이텍,성우하이텍,KOSDAQ
15760,한국전력공사보통주,한국전력,KOSPI
15860,일진홀딩스보통주,일진홀딩스,KOSPI
15890,태경산업보통주,태경산업,KOSPI
